name,or_tools_cost
XML1000_3346_06,9429957.0
XML1000_2215_05,
XML1000_3246_12,6091183.0
XML1000_1162_03,
XML1000_3174_18,
XML1000_2312_18,
XML1000_1333_09,
XML1000_3142_25,
XML1000_3325_12,10564282.0
XML1000_2143_12,
XML1000_2324_25,
XML1000_2271_18,
XML1000_2376_05,4877073.0
XML1000_1234_14,
XML1000_1366_20,7179571.0
XML1000_3225_06,10840631.0
XML1000_2276_11,4349586.0
XML1000_2276_05,4379077.0
XML1000_1153_23,
XML1000_1334_14,
XML1000_3225_12,12158421.0
XML1000_1233_09,
XML1000_2224_25,
XML1000_2371_18,
XML1000_2376_11,4155275.0
XML1000_2111_26,
XML1000_1266_20,4275827.0
XML1000_3325_06,9182857.0
XML1000_2143_06,
XML1000_2223_04,
XML1000_1361_15,
XML1000_1154_02,
XML1000_3142_19,
XML1000_1266_08,5174064.0
XML1000_2271_24,
XML1000_2324_19,
XML1000_2323_10,
XML1000_2144_27,
XML1000_1261_01,
XML1000_3145_10,
XML1000_1233_21,
XML1000_2116_07,5551158.0
XML1000_1366_08,5296866.0
XML1000_2116_13,5338940.0
XML1000_2371_24,
XML1000_2224_19,
XML1000_2323_04,
XML1000_1261_15,
XML1000_3145_04,
XML1000_1333_21,
XML1000_1154_16,
XML1000_2223_10,
XML1000_1361_01,
XML1000_3131_08,
XML1000_1215_19,
XML1000_1312_04,
XML1000_3251_22,
XML1000_2165_16,
XML1000_3164_21,
XML1000_1212_10,
XML1000_3136_01,6126971.0
XML1000_1212_04,
XML1000_3351_22,
XML1000_3136_15,7062581.0
XML1000_2165_02,
XML1000_1315_19,6882785.0
XML1000_1175_27,
XML1000_1312_10,
XML1000_3163_14,
XML1000_2162_23,
XML1000_1215_25,7433462.0
XML1000_3356_03,6817251.0
XML1000_1172_06,
XML1000_3256_17,4699317.0
XML1000_1315_25,6672414.0
XML1000_1172_12,
XML1000_3164_09,
XML1000_3256_03,4749569.0
XML1000_3131_20,
XML1000_3356_17,5444992.0
XML1000_1231_18,
XML1000_3115_09,
XML1000_1364_25,
XML1000_2373_09,
XML1000_2274_14,
XML1000_3275_23,
XML1000_1336_05,5032041.0
XML1000_2326_20,4587869.0
XML1000_2141_17,
XML1000_1236_11,3831522.0
XML1000_2113_23,
XML1000_2374_14,
XML1000_3112_14,
XML1000_3375_23,
XML1000_1236_05,4400842.0
XML1000_1331_18,
XML1000_1264_25,
XML1000_2273_09,
XML1000_2141_03,
XML1000_1336_11,6036646.0
XML1000_1151_26,
XML1000_2226_20,3563110.0
XML1000_2146_22,6462954.0
XML1000_2321_15,
XML1000_1263_04,
XML1000_3372_02,
XML1000_1364_19,
XML1000_1231_24,
XML1000_2226_08,3365372.0
XML1000_2114_02,
XML1000_2221_01,
XML1000_1363_10,
XML1000_3272_16,
XML1000_1156_07,5423849.0
XML1000_2273_21,
XML1000_1264_19,
XML1000_3272_02,
XML1000_1156_13,4638801.0
XML1000_1331_24,
XML1000_2326_08,4122863.0
XML1000_2221_15,
XML1000_1363_04,
XML1000_3372_16,
XML1000_3115_21,
XML1000_2373_21,
XML1000_2114_16,
XML1000_2321_01,
XML1000_1263_10,
XML1000_2255_19,5399721.0
XML1000_3166_24,9266957.0
XML1000_3134_04,
XML1000_2352_04,
XML1000_1125_16,
XML1000_1342_21,
XML1000_2252_10,
XML1000_2252_04,
XML1000_2355_19,
XML1000_3133_19,
XML1000_1125_02,
XML1000_3134_10,
XML1000_2135_27,5690184.0
XML1000_2352_10,
XML1000_1242_21,
XML1000_1345_14,
XML1000_1122_23,
XML1000_2255_25,
XML1000_1242_09,
XML1000_3254_12,
XML1000_3166_18,8710372.0
XML1000_3161_11,
XML1000_2132_06,
XML1000_3354_06,
XML1000_2355_25,
XML1000_2132_12,
XML1000_3354_12,
XML1000_3133_25,
XML1000_1342_09,
XML1000_3161_05,
XML1000_1245_14,6578081.0
XML1000_3254_06,
XML1000_3365_26,
XML1000_2364_11,
XML1000_2151_06,
XML1000_1274_20,
XML1000_1326_14,4242597.0
XML1000_1141_23,
XML1000_2264_05,
XML1000_2236_25,3310765.0
XML1000_2363_18,
XML1000_1113_03,
XML1000_1221_09,
XML1000_1113_17,
XML1000_1374_20,
XML1000_3265_26,10401629.0
XML1000_2264_11,
XML1000_2336_25,4119632.0
XML1000_2151_12,
XML1000_2263_18,
XML1000_1321_09,
XML1000_1226_14,3854710.0
XML1000_2364_05,
XML1000_1146_16,7803683.0
XML1000_1321_21,
XML1000_3262_07,
XML1000_1373_01,
XML1000_2231_10,
XML1000_2363_24,
XML1000_2236_19,3980329.0
XML1000_3362_13,
XML1000_1374_08,
XML1000_1273_15,
XML1000_2331_04,
XML1000_1273_01,
XML1000_2156_27,4555425.0
XML1000_2331_10,
XML1000_1221_21,
XML1000_3362_07,
XML1000_1373_15,
XML1000_1114_22,
XML1000_2231_04,
XML1000_2263_24,
XML1000_2336_19,4150256.0
XML1000_1146_02,7313433.0
XML1000_1274_08,
XML1000_3262_13,
XML1000_2242_01,
XML1000_1135_07,
XML1000_3211_16,
XML1000_2125_22,
XML1000_2342_15,
XML1000_3124_15,
XML1000_3343_22,
XML1000_1252_24,
XML1000_3311_02,
XML1000_2245_08,
XML1000_3311_16,
XML1000_3176_21,6454785.0
XML1000_2342_01,
XML1000_3124_01,
XML1000_3123_08,
XML1000_1135_13,
XML1000_1352_24,
XML1000_3211_02,
XML1000_2345_08,
XML1000_2242_15,
XML1000_3243_22,
XML1000_3344_17,
XML1000_3123_20,
XML1000_2345_20,7257261.0
XML1000_2122_17,
XML1000_1255_11,6178891.0
XML1000_3176_09,6942472.0
XML1000_1252_18,
XML1000_3244_03,
XML1000_1355_05,
XML1000_3216_23,5219523.0
XML1000_1355_11,
XML1000_1132_26,
XML1000_3244_17,
XML1000_2245_20,6671560.0
XML1000_1255_05,
XML1000_3171_14,
XML1000_3316_23,5549237.0
XML1000_3344_03,
XML1000_1352_18,
XML1000_2122_03,
XML1000_2245_21,
XML1000_3244_16,
XML1000_1132_27,
XML1000_1355_10,6247284.0
XML1000_2122_02,
XML1000_1352_19,
XML1000_3344_02,
XML1000_3316_22,6453499.0
XML1000_3171_15,
XML1000_1255_04,
XML1000_3171_01,
XML1000_1255_10,
XML1000_2122_16,
XML1000_2345_21,
XML1000_3123_21,
XML1000_3344_16,
XML1000_3216_22,5313891.0
XML1000_1355_04,
XML1000_3244_02,
XML1000_1252_19,
XML1000_3176_08,6296779.0
XML1000_3176_20,7955031.0
XML1000_3311_17,
XML1000_3243_23,
XML1000_2242_14,
XML1000_2345_09,7316211.0
XML1000_3211_03,
XML1000_1352_25,
XML1000_1135_12,
XML1000_3123_09,
XML1000_3211_17,
XML1000_1135_06,7388307.0
XML1000_2245_09,5541343.0
XML1000_3311_03,
XML1000_1252_25,
XML1000_3343_23,
XML1000_3124_14,
XML1000_2342_14,
XML1000_2125_23,5983966.0
XML1000_3362_06,
XML1000_1221_20,
XML1000_2331_11,
XML1000_2156_26,5433357.0
XML1000_3262_12,
XML1000_1274_09,
XML1000_1146_03,5489390.0
XML1000_2336_18,5158948.0
XML1000_2263_25,
XML1000_2231_05,
XML1000_1114_23,
XML1000_1373_14,
XML1000_2231_11,
XML1000_3262_06,
XML1000_1321_20,
XML1000_1146_17,6532743.0
XML1000_2331_05,
XML1000_1273_14,
XML1000_1374_09,
XML1000_3362_12,
XML1000_2236_18,3276910.0
XML1000_2363_25,
XML1000_2264_10,
XML1000_1326_01,5886507.0
XML1000_1374_21,
XML1000_1113_16,
XML1000_2364_04,
XML1000_1226_15,5853918.0
XML1000_1321_08,
XML1000_2263_19,
XML1000_2151_13,
XML1000_2336_24,4640369.0
XML1000_1274_21,
XML1000_2151_07,
XML1000_2364_10,
XML1000_1226_01,5366244.0
XML1000_1221_08,
XML1000_1113_02,
XML1000_2363_19,
XML1000_2236_24,3452739.0
XML1000_2264_04,
XML1000_1141_22,
XML1000_1326_15,7240534.0
XML1000_1245_15,7968141.0
XML1000_3161_04,
XML1000_1342_08,
XML1000_3133_24,
XML1000_3354_13,
XML1000_2132_13,
XML1000_2355_24,
XML1000_1345_01,
XML1000_3254_07,
XML1000_3166_19,6568003.0
XML1000_3254_13,
XML1000_1242_08,
XML1000_2255_24,5454544.0
XML1000_1122_22,
XML1000_1345_15,9332349.0
XML1000_3354_07,
XML1000_2132_07,
XML1000_1245_01,
XML1000_3161_10,
XML1000_1125_03,7002682.0
XML1000_3133_18,
XML1000_2355_18,5771047.0
XML1000_2252_05,
XML1000_1242_20,
XML1000_2352_11,
XML1000_2135_26,
XML1000_3353_26,
XML1000_3134_11,
XML1000_2352_05,
XML1000_3134_05,
XML1000_3166_25,6727066.0
XML1000_2255_18,
XML1000_2252_11,
XML1000_3253_26,
XML1000_1342_20,
XML1000_1125_17,
XML1000_1363_05,
XML1000_2221_14,
XML1000_2326_09,4946863.0
XML1000_1331_25,
XML1000_1156_12,4548639.0
XML1000_3272_03,
XML1000_1264_18,
XML1000_1263_11,
XML1000_2114_17,
XML1000_2373_20,
XML1000_3115_20,8642194.0
XML1000_3372_17,
XML1000_2114_03,
XML1000_2226_09,3856590.0
XML1000_1231_25,
XML1000_1364_18,
XML1000_3372_03,
XML1000_1263_05,
XML1000_2321_14,
XML1000_2146_23,5654409.0
XML1000_2273_20,
XML1000_1156_06,5110675.0
XML1000_3272_17,
XML1000_1363_11,
XML1000_2141_02,
XML1000_2273_08,
XML1000_1264_24,
XML1000_1331_19,
XML1000_1236_04,4496990.0
