Model,Type,Train Init Temp,Train Steps,Train Dimension,Train Demand,Train Scheduler,Train Clustering,Dimension,Step,Scheduler,Clustering,Initial Temp,Initial Cost,Final Cost,Gain
50_1000_lam_False_100,Baseline,/,/,/,/,/,/,50,1000,lam,False,100,29.457374572753903,17.854080200195312,11.603294372558594
50_1000_step_False_100,Baseline,/,/,/,/,/,/,50,1000,step,False,100,29.457374572753903,21.876672744750977,7.58070182800293
50_25000_cyclic_False_100,Baseline,/,/,/,/,/,/,50,25000,cyclic,False,100,29.457374572753903,12.455026626586914,17.002347946166992
50_25000_lam_False_100,Baseline,/,/,/,/,/,/,50,25000,lam,False,100,29.457374572753903,12.312005996704102,17.145368576049805
50_25000_step_False_100,Baseline,/,/,/,/,/,/,50,25000,step,False,100,29.457374572753903,13.59873390197754,15.858640670776367
50_100_cyclic_False_1000,Baseline,/,/,/,/,/,/,50,100,cyclic,False,1000,29.457374572753903,26.314624786376953,3.142749786376953
50_100_lam_False_1000,Baseline,/,/,/,/,/,/,50,100,lam,False,1000,29.457374572753903,24.849899291992188,4.607475280761719
50_100_step_False_1000,Baseline,/,/,/,/,/,/,50,100,step,False,1000,29.457374572753903,26.539159774780273,2.918214797973633
50_1000_cyclic_False_1000,Baseline,/,/,/,/,/,/,50,1000,cyclic,False,1000,29.457374572753903,16.50007438659668,12.957300186157228
50_1000_lam_False_1000,Baseline,/,/,/,/,/,/,50,1000,lam,False,1000,29.457374572753903,18.30660820007324,11.150766372680664
50_1000_step_False_1000,Baseline,/,/,/,/,/,/,50,1000,step,False,1000,29.457374572753903,22.098369598388672,7.359004974365234
50_25000_cyclic_False_1000,Baseline,/,/,/,/,/,/,50,25000,cyclic,False,1000,29.457374572753903,12.284472465515137,17.17290210723877
50_25000_lam_False_1000,Baseline,/,/,/,/,/,/,50,25000,lam,False,1000,29.457374572753903,12.74924659729004,16.708127975463867
50_25000_step_False_1000,Baseline,/,/,/,/,/,/,50,25000,step,False,1000,29.457374572753903,13.66343116760254,15.793943405151367
/,OR_TOOLS 1 sec,/,/,/,/,/,/,100,/,/,True,/,49.96660614013672,,
100_100_cyclic_True_1,Baseline,/,/,/,/,/,/,100,100,cyclic,True,1,49.96660614013672,39.45051574707031,10.516090393066406
100_100_lam_True_1,Baseline,/,/,/,/,/,/,100,100,lam,True,1,49.96660614013672,38.36439514160156,11.602210998535156
100_100_step_True_1,Baseline,/,/,/,/,/,/,100,100,step,True,1,49.96660614013672,40.334781646728516,9.631824493408203
100_1000_cyclic_True_1,Baseline,/,/,/,/,/,/,100,1000,cyclic,True,1,49.96660614013672,23.685588836669922,26.281017303466797
100_1000_lam_True_1,Baseline,/,/,/,/,/,/,100,1000,lam,True,1,49.96660614013672,24.431692123413086,25.534914016723633
100_1000_step_True_1,Baseline,/,/,/,/,/,/,100,1000,step,True,1,49.96660614013672,28.680177688598633,21.286428451538086
100_100000_cyclic_True_1,Baseline,/,/,/,/,/,/,100,100000,cyclic,True,1,49.96660614013672,14.700577735900879,35.26602840423584
100_100000_lam_True_1,Baseline,/,/,/,/,/,/,100,100000,lam,True,1,49.96660614013672,14.279033660888672,35.68757247924805
